candidate_semantics,source,target,source_vertices,source_edges,target_junction_vertices,target_junction_edges,candidate_mode,minimum_rho,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,search_seconds,status
baseline_junctions_plus_mode_additions_v2,1998e5,2014e3,54,78,317,493,original_target_vertices,15.629,25,2,8,1.0,4059,4236,1872,2,75,72947657,33454080,3.169824,ok
baseline_junctions_plus_mode_additions_v2,1998e5,2014e3,54,78,317,493,uniform_target_subdivision,15.629,25,2,8,1.0,1303,1479,832,2,28,1761615,256256,2.185251,ok
baseline_junctions_plus_mode_additions_v2,1998e5,2014e3,54,78,317,493,adaptive_closest_points,15.629,25,2,8,1.0,495,671,643,2,20,651007,115500,17.308630,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e3,14,18,371,581,target_junctions,12.5,25,2,8,1.0,371,581,99,2,14,4086,864,1.516160,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e3,14,18,371,581,original_target_vertices,12.5,25,2,8,1.0,4489,4703,340,2,62,144605,26784,2.218930,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e3,14,18,371,581,uniform_target_subdivision,12.5,25,2,8,1.0,1533,1743,189,2,34,23352,4998,1.755084,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e3,14,18,371,581,adaptive_closest_points,12.5,25,2,8,1.0,411,621,139,2,20,11436,2720,8.168545,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e5,14,18,70,103,target_junctions,12.5,25,2,8,1.0,70,103,59,2,7,928,140,0.298577,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e5,14,18,70,103,original_target_vertices,12.5,25,2,8,1.0,2828,2861,257,2,44,70144,14872,0.843147,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e5,14,18,70,103,uniform_target_subdivision,12.5,25,2,8,1.0,276,309,85,2,11,2414,420,0.317710,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1955e5,14,18,70,103,adaptive_closest_points,12.5,25,2,8,1.0,94,127,83,2,10,2830,560,4.520465,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e3,14,18,321,509,target_junctions,0,25,2,8,1.0,321,509,56,2,6,830,120,0.067354,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e3,14,18,321,509,original_target_vertices,0,25,2,8,1.0,4322,4511,56,2,6,830,120,0.104255,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e3,14,18,321,509,uniform_target_subdivision,0,25,2,8,1.0,1339,1527,56,2,6,830,120,0.034206,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e3,14,18,321,509,adaptive_closest_points,0,25,2,8,1.0,321,509,56,2,6,830,120,0.269842,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e5,14,18,54,78,target_junctions,0,25,2,8,1.0,54,78,51,2,5,648,80,0.012784,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e5,14,18,54,78,original_target_vertices,0,25,2,8,1.0,2353,2377,51,2,5,648,80,0.036196,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e5,14,18,54,78,uniform_target_subdivision,0,25,2,8,1.0,210,234,51,2,5,648,80,0.007578,ok
baseline_junctions_plus_mode_additions_v2,1998e7,1998e5,14,18,54,78,adaptive_closest_points,0,25,2,8,1.0,54,78,51,2,5,648,80,0.139327,ok
baseline_junctions_plus_mode_additions_v2,1998e7,2014e3,14,18,317,493,target_junctions,15.629,25,2,8,1.0,317,493,98,2,10,4442,700,1.329325,ok
baseline_junctions_plus_mode_additions_v2,1998e7,2014e3,14,18,317,493,original_target_vertices,15.629,25,2,8,1.0,4059,4236,415,2,55,252744,37200,2.087613,ok
baseline_junctions_plus_mode_additions_v2,1998e7,2014e3,14,18,317,493,uniform_target_subdivision,15.629,25,2,8,1.0,1303,1479,210,2,25,46247,8250,1.490259,ok
baseline_junctions_plus_mode_additions_v2,1998e7,2014e3,14,18,317,493,adaptive_closest_points,15.629,25,2,8,1.0,353,529,135,3,16,10583,1536,8.047803,ok
